ImageName,Algorithm,BaselinePower,OptimizedPower,PowerSaved_Pct,SSIM,Runtime_Sec
kodim15t.jpg,EGDIO,0.412366235947917+1.14215638788204e-05i,0.262413886516262,36.3638767098059+0.00176256924985304i,0.95045692989978,47.908826
kodim15t.jpg,PSO,0.412366235947917+1.14215638788204e-05i,0.259740937031986,37.0120746584283+0.00174461570848394i,0.948198771232699,45.4757037083333
kodim15t.jpg,ACO,0.412366235947917+1.14215638788204e-05i,0.216481150113534,47.5026975839018+0.00145405040651036i,0.877875130102375,48.9062416666667
kodim15t.jpg,CSA,0.412366235947917+1.14215638788204e-05i,0.276062492237694,33.0540505113572+0.00185424356277654i,0.955778635280272,94.500925
kodim16t.jpg,EGDIO,0.348605739157395+1.15465652865347e-05i,0.223724683142741,35.8230064031485+0.00212567884926586i,0.951322307415167,47.250965375
kodim16t.jpg,PSO,0.348605739157395+1.15465652865347e-05i,0.219889532604775,36.9231462181237+0.00208923987316457i,0.947446871691741,44.9756145833333
kodim16t.jpg,ACO,0.348605739157395+1.15465652865347e-05i,0.180693203438336,48.1668879930518+0.00171682317462443i,0.818476701048239,47.8875012916667
kodim16t.jpg,CSA,0.348605739157395+1.15465652865347e-05i,0.201382591455582,42.2319920144155+0.00191339958226405i,0.917371488795981,92.9061249166667
kodim17t.jpg,EGDIO,0.312418967030864+1.11971453683603e-05i,0.200768501780895,35.7374158710502+0.00230318121552221i,0.947690304679348,48.3751205416667
kodim17t.jpg,PSO,0.312418967030864+1.11971453683603e-05i,0.200330731551095,35.8775386790214+0.00229815919184296i,0.947113393663191,47.7685255
kodim17t.jpg,ACO,0.312418967030864+1.11971453683603e-05i,0.158437751272465,49.2867694382661+0.00181757023299681i,0.875349659625759,47.0151682083333
kodim17t.jpg,CSA,0.312418967030864+1.11971453683603e-05i,0.174747261999145,44.066372334745+0.00200467009381582i,0.90829837242203,95.9498520416667
kodim18t.jpg,EGDIO,0.290636429970926+9.31868295634012e-06i,0.190197362110157,34.5583201893671+0.00209825817894411i,0.949159139454169,48.4564556666667
kodim18t.jpg,PSO,0.290636429970926+9.31868295634012e-06i,0.188938154502959,34.99157888513+0.00208436659479447i,0.947724850034632,47.6398812083333
kodim18t.jpg,ACO,0.290636429970926+9.31868295634012e-06i,0.106560462539073,63.3354764094146+0.00117557551584327i,0.549481439222302,48.917425
kodim18t.jpg,CSA,0.290636429970926+9.31868295634012e-06i,0.209110839139982,28.0507130692712+0.0023069117450599i,0.965003012626131,95.0307677916667
kodim19t.jpg,EGDIO,0.3686283536214+1.08201665694177e-05i,0.237709528522126,35.5151262831338+0.00189279274903788i,0.949497571623771,47.57342525
kodim19t.jpg,PSO,0.3686283536214+1.08201665694177e-05i,0.233455387128782,36.6691724512827+0.00185891860005965i,0.947904720791072,46.9980599583333
kodim19t.jpg,ACO,0.3686283536214+1.08201665694177e-05i,0.158367306171438,57.0387615387705+0.00126102008055625i,0.8176378969658,48.6395205416667
kodim19t.jpg,CSA,0.3686283536214+1.08201665694177e-05i,0.238942524817283,35.180644064937+0.00190261064090605i,0.951368022052659,94.3377713333333
kodim20t.jpg,EGDIO,0.590277870045951+1.16623619318546e-05i,0.365860623712064,38.0189158131971+0.00122458569666346i,0.951788131608971,48.672422875
kodim20t.jpg,PSO,0.590277870045951+1.16623619318546e-05i,0.358148155121018,39.3254985226987+0.00119877100628565i,0.947999905219944,48.0936377916667
kodim20t.jpg,ACO,0.590277870045951+1.16623619318546e-05i,0.314733300107766,46.6804845723918+0.00105345553086628i,0.903388517738243,48.6530951666667
kodim20t.jpg,CSA,0.590277870045951+1.16623619318546e-05i,0.361401408752526,38.7743591703147+0.00120966009247465i,0.948962114746791,93.0647357083333
kodim21t.jpg,EGDIO,0.375325775942672+1.09946817567493e-05i,0.246950354640832,34.2037317291423+0.00192741633212602i,0.955629466339127,48.1273183333333
kodim21t.jpg,PSO,0.375325775942672+1.09946817567493e-05i,0.23885398616214,36.360889321479+0.00186422519859055i,0.948307344094011,47.2458479583333
kodim21t.jpg,ACO,0.375325775942672+1.09946817567493e-05i,0.160364408027214,57.2732761327598+0.00125162395321488i,0.805778383506201,48.5053479166667
kodim21t.jpg,CSA,0.375325775942672+1.09946817567493e-05i,0.247684600552453,34.0081027694346+0.00193314702874282i,0.953374608759612,93.8202259166667
kodim22t.jpg,EGDIO,0.35816981722466+1.14706423601713e-05i,0.237114438568258,33.798319422227+0.00212015576140415i,0.955555445591425,48.21110675
kodim22t.jpg,PSO,0.35816981722466+1.14706423601713e-05i,0.231087144728339,35.4811228143276+0.00206626278956515i,0.949557069280767,48.1397852916667
kodim22t.jpg,ACO,0.35816981722466+1.14706423601713e-05i,0.1350189400631,62.303093831067+0.00120727014939269i,0.751482721789558,48.7436686666667
kodim22t.jpg,CSA,0.35816981722466+1.14706423601713e-05i,0.241708246801088,32.5157411570582+0.00216123123976991i,0.95594968893039,92.7684092916667
kodim23t.jpg,EGDIO,0.360350830903656+1.14942001518003e-05i,0.232754722252342,35.40885657684+0.00206027977978476i,0.950312648249376,49.3612970416667
kodim23t.jpg,PSO,0.360350830903656+1.14942001518003e-05i,0.230872134003287,35.931288630741+0.00204361563451779i,0.948449803982458,48.7043965
kodim23t.jpg,ACO,0.360350830903656+1.14942001518003e-05i,0.17852715390367,50.4574047257403+0.00158027249359729i,0.850386966230166,49.335851875
